City A,City B,Nearest City
Kabul,Tiranë (Tirana),Ashgabat
Kabul,El Djazaïr  (Algiers),Yerevan
Kabul,Pago Pago,Palikir
Kabul,Andorra la Vella,Bucuresti (Bucharest)
Kabul,Luanda,Asmara
Kabul,The Valley,Kyiv (Kiev)
Kabul,St. John's,St. Peter Port
Kabul,Buenos Aires,São Tomé
Kabul,Yerevan,Ashgabat
Tiranë (Tirana),El Djazaïr  (Algiers),Podgorica
Tiranë (Tirana),Pago Pago,Minsk
Tiranë (Tirana),Andorra la Vella,Vatican City
Tiranë (Tirana),Luanda,N'Djaména
Tiranë (Tirana),The Valley,Vatican City
Tiranë (Tirana),St. John's,Roma (Rome)
Tiranë (Tirana),Buenos Aires,Bissau
Tiranë (Tirana),Yerevan,Skopje
El Djazaïr  (Algiers),Pago Pago,St. Helier
El Djazaïr  (Algiers),Andorra la Vella,Madrid
El Djazaïr  (Algiers),Luanda,Yaoundé
El Djazaïr  (Algiers),The Valley,Philipsburg
El Djazaïr  (Algiers),St. John's,Gibraltar
El Djazaïr  (Algiers),Buenos Aires,Nouakchott
El Djazaïr  (Algiers),Yerevan,Ankara
Pago Pago,Andorra la Vella,Douglas
Pago Pago,Luanda,Cape Town
Pago Pago,The Valley,Philipsburg
Pago Pago,St. John's,Managua
Pago Pago,Buenos Aires,Rarotonga
Pago Pago,Yerevan,Apia
Andorra la Vella,Luanda,El Djazaïr  (Algiers)
Andorra la Vella,The Valley,Philipsburg
Andorra la Vella,St. John's,Brades Estate
Andorra la Vella,Buenos Aires,Praia
Andorra la Vella,Yerevan,Sarajevo
Luanda,The Valley,Philipsburg
Luanda,St. John's,Brades Estate
Luanda,Buenos Aires,Montevideo
Luanda,Yerevan,Kinshasa
The Valley,St. John's,Philipsburg
The Valley,Buenos Aires,Philipsburg
The Valley,Yerevan,Ljubljana
St. John's,Buenos Aires,Basse-Terre
St. John's,Yerevan,Bucuresti (Bucharest)
Buenos Aires,Yerevan,Ouagadougou
